skills,interests,education,career_stage,target_career
Adobe Creative Suite:1;Business Analysis:1;Data Visualization:5;Digital Marketing:1;Excel:4;Linux:2;Python:4;SQL:5;Social Media Strategy:1;Statistics:3;Typography:1,Technology;Business,Master's Degree,recent graduate,Data Analyst
Accounting:4;Business Analysis:2;Communication:3;Data Visualization:1;Excel:5;Financial Analysis:5;Java:1;Network Security:2;Python:1;SQL:1;Social Media Strategy:1;Statistics:5,Finance;Business,Bachelor's Degree,student,Financial Analyst
Financial Analysis:1;Java:5;JavaScript:3;Leadership:2;Linux:2;Network Security:2;Project Management:2;Python:3;React:3;Risk Management:2;SQL:2,Technology;Engineering,Master's Degree,professional,Software Engineer
Accounting:1;Analytics:1;Cybersecurity:2;Java:5;JavaScript:3;Network Security:1;Python:3;React:4;SQL:4;Statistics:2,Technology;Engineering;Business,Bachelor's Degree,recent graduate,Software Engineer
Agile:1;Analytics:2;Creativity:2;Java:5;JavaScript:3;Linux:2;Python:5;React:3;SEO:1;SQL:4;Social Media Strategy:1;Typography:1;UI/UX:2;User Research:2,Technology;Engineering,Master's Degree,professional,Software Engineer
Agile:1;Communication:5;Figma:5;Leadership:2;Problem Solving:2;Project Management:1;Python:1;Social Media Strategy:1;Typography:2;UI/UX:4;User Research:5,Design;Technology,Bachelor's Degree,professional,UX Designer
Business Analysis:1;Cybersecurity:5;Data Visualization:2;Digital Marketing:1;Linux:4;Network Security:5;Problem Solving:4;Python:4;Typography:2;User Research:2,Technology;Security;Healthcare,Bachelor's Degree,student,Cybersecurity Analyst
Adobe Creative Suite:1;Agile:2;Communication:3;Figma:4;Network Security:1;Risk Management:1;Typography:3;UI/UX:5;User Research:3,Design;Technology;Engineering,Bachelor's Degree,professional,UX Designer
Cybersecurity:2;Data Visualization:4;Digital Marketing:1;Financial Analysis:1;Java:1;Leadership:2;Machine Learning:4;Python:5;SQL:5;Statistics:5,Technology;Science,Master's Degree,recent graduate,Data Scientist
Agile:4;Communication:5;Cybersecurity:2;Digital Marketing:2;Graphic Design:1;Leadership:5;Project Management:5;React:1;Risk Management:3,Business;Management,Bachelor's Degree,career switcher,Project Manager
Adobe Creative Suite:5;Communication:3;Creativity:4;Excel:1;Graphic Design:5;Java:2;JavaScript:1;Linux:2;Machine Learning:1;React:1;Typography:5,Design;Arts,Bachelor's Degree,student,Graphic Designer
Accounting:2;Cybersecurity:5;Financial Analysis:2;JavaScript:1;Linux:4;Network Security:5;Problem Solving:3;Python:4;Risk Management:2;SQL:2;Social Media Strategy:2;UI/UX:2,Technology;Security,Bachelor's Degree,student,Cybersecurity Analyst
Agile:5;Communication:4;Financial Analysis:2;Java:1;Leadership:5;Project Management:5;Python:2;Risk Management:4;User Research:2,Business;Management;Science,Bachelor's Degree,professional,Project Manager
Adobe Creative Suite:1;Agile:1;Communication:4;Figma:5;Network Security:2;Social Media Strategy:2;Typography:3;UI/UX:5;User Research:4,Design;Technology;Science,Bachelor's Degree,recent graduate,UX Designer
Adobe Creative Suite:5;Communication:2;Creativity:5;Cybersecurity:1;Figma:2;Graphic Design:4;Java:2;JavaScript:1;Python:2;SEO:2;Typography:3,Design;Arts;Science,Bachelor's Degree,recent graduate,Graphic Designer
Adobe Creative Suite:5;Communication:4;Creativity:5;Cybersecurity:2;Graphic Design:5;Leadership:2;Linux:1;Typography:5,Design;Arts,Diploma,student,Graphic Designer
Accounting:2;Agile:4;Analytics:2;Communication:5;Leadership:3;Project Management:5;Risk Management:2;SEO:1;SQL:2,Business;Management,Bachelor's Degree,career switcher,Project Manager
Analytics:4;Communication:5;Digital Marketing:5;SEO:3;Social Media Strategy:4,Marketing;Business,Diploma,professional,Marketing Specialist
Analytics:2;Cybersecurity:5;Figma:2;Linux:5;Network Security:5;Problem Solving:4;Python:4;React:1;Social Media Strategy:1,Technology;Security,Bachelor's Degree,student,Cybersecurity Analyst
Accounting:4;Business Analysis:2;Communication:4;Data Visualization:2;Excel:5;Figma:2;Financial Analysis:5;Java:2;Problem Solving:2;Python:2;Statistics:3,Finance;Business;Healthcare,Master's Degree,student,Financial Analyst
Agile:2;Analytics:1;Creativity:2;Data Visualization:5;Digital Marketing:2;Java:1;JavaScript:2;Leadership:2;Linux:1;Machine Learning:4;Python:5;SQL:4;Statistics:5,Technology;Science,Master's Degree,student,Data Scientist
Adobe Creative Suite:4;Agile:1;Analytics:2;Communication:3;Creativity:5;Data Visualization:1;Excel:1;Financial Analysis:1;Graphic Design:5;Risk Management:2;Typography:5,Design;Arts,Bachelor's Degree,professional,Graphic Designer
Analytics:2;Communication:5;Creativity:2;Digital Marketing:5;Java:2;Project Management:1;Risk Management:2;SEO:4;Social Media Strategy:3;UI/UX:2,Marketing;Business;Engineering,Diploma,professional,Marketing Specialist
Data Visualization:4;Excel:5;Financial Analysis:2;Problem Solving:2;Python:4;SQL:5;Statistics:3;UI/UX:2,Technology;Business,Bachelor's Degree,student,Data Analyst
Agile:4;Business Analysis:2;Communication:5;Figma:1;Java:2;Leadership:3;Linux:1;Project Management:5;Risk Management:4;Social Media Strategy:2,Business;Management,Bachelor's Degree,career switcher,Project Manager
Accounting:4;Communication:3;Excel:5;Financial Analysis:5;Leadership:2;Network Security:2;Statistics:4;Typography:2;UI/UX:2,Finance;Business,Master's Degree,student,Financial Analyst
Accounting:3;Communication:2;Excel:5;Financial Analysis:5;Linux:1;Problem Solving:2;React:1;Statistics:5,Finance;Business,Bachelor's Degree,student,Financial Analyst
Adobe Creative Suite:5;Communication:2;Creativity:5;Graphic Design:4;Typography:5;UI/UX:2,Design;Arts,Diploma,professional,Graphic Designer
Adobe Creative Suite:5;Communication:2;Creativity:5;Financial Analysis:1;Graphic Design:4;JavaScript:1;Leadership:2;Network Security:1;Project Management:2;Social Media Strategy:1;Typography:4,Design;Arts,Bachelor's Degree,student,Graphic Designer
Agile:1;Analytics:3;Communication:5;Cybersecurity:1;Digital Marketing:5;Problem Solving:1;SEO:5;Social Media Strategy:5,Marketing;Business,Diploma,recent graduate,Marketing Specialist
Accounting:3;Communication:2;Data Visualization:2;Excel:5;Figma:1;Financial Analysis:5;Leadership:1;SEO:2;SQL:1;Social Media Strategy:2;Statistics:3,Finance;Business,Master's Degree,professional,Financial Analyst
Adobe Creative Suite:1;Creativity:1;Cybersecurity:1;Data Visualization:4;Financial Analysis:1;Leadership:1;Machine Learning:5;Problem Solving:2;Python:5;SQL:4;Statistics:5,Technology;Science;Finance,Master's Degree,student,Data Scientist
Accounting:2;Agile:4;Analytics:2;Communication:4;Data Visualization:1;Figma:1;Leadership:3;Project Management:5;Risk Management:3;Social Media Strategy:2;User Research:2,Business;Management;Healthcare,Master's Degree,professional,Project Manager
Accounting:2;Business Analysis:5;Communication:5;Cybersecurity:2;Digital Marketing:1;Excel:4;Leadership:1;Machine Learning:2;Project Management:4;SEO:1;SQL:4;Social Media Strategy:2;Statistics:1,Business;Technology,Master's Degree,student,Business Analyst
Agile:1;Analytics:3;Business Analysis:1;Communication:5;Cybersecurity:1;Digital Marketing:5;Figma:1;Financial Analysis:1;Java:2;Network Security:1;SEO:5;Social Media Strategy:5;UI/UX:2,Marketing;Business,Bachelor's Degree,professional,Marketing Specialist
Adobe Creative Suite:2;Business Analysis:5;Communication:4;Excel:4;Graphic Design:1;Leadership:1;Problem Solving:2;Project Management:4;Risk Management:1;SEO:1;SQL:5;Typography:2;UI/UX:2;User Research:2,Business;Technology,Bachelor's Degree,student,Business Analyst
Accounting:1;Adobe Creative Suite:1;Agile:2;Data Visualization:4;Machine Learning:4;Problem Solving:2;Python:4;React:1;SQL:4;Statistics:4,Technology;Science,Master's Degree,student,Data Scientist
Communication:3;Creativity:2;Figma:5;Linux:1;Network Security:2;Problem Solving:2;Typography:3;UI/UX:5;User Research:3,Design;Technology,Bachelor's Degree,professional,UX Designer
Accounting:4;Communication:3;Digital Marketing:2;Excel:5;Financial Analysis:5;Statistics:5;UI/UX:2,Finance;Business;Technology,Master's Degree,professional,Financial Analyst
Agile:1;Business Analysis:5;Communication:3;Creativity:2;Digital Marketing:2;Excel:5;Project Management:4;SEO:1;SQL:5;Social Media Strategy:2;UI/UX:2;User Research:2,Business;Technology,Bachelor's Degree,recent graduate,Business Analyst
Agile:2;Communication:1;Cybersecurity:5;Financial Analysis:1;Graphic Design:2;Java:2;Linux:4;Network Security:4;Problem Solving:3;Python:4;Risk Management:2,Technology;Security,Bachelor's Degree,student,Cybersecurity Analyst
Agile:1;Analytics:1;Cybersecurity:1;Digital Marketing:1;Figma:1;Java:5;JavaScript:3;Linux:1;Network Security:1;Python:3;React:4;SQL:3;User Research:1,Technology;Engineering,Master's Degree,professional,Software Engineer
Data Visualization:4;Excel:5;Financial Analysis:1;Python:4;SQL:4;Statistics:4,Technology;Business,Bachelor's Degree,professional,Data Analyst
Analytics:4;Communication:5;Creativity:2;Digital Marketing:5;Financial Analysis:1;Graphic Design:2;Java:2;Problem Solving:2;Risk Management:2;SEO:4;Social Media Strategy:4;UI/UX:2,Marketing;Business,Bachelor's Degree,recent graduate,Marketing Specialist
Accounting:3;Adobe Creative Suite:2;Agile:1;Communication:2;Excel:4;Figma:2;Financial Analysis:4;JavaScript:2;Statistics:4,Finance;Business,Bachelor's Degree,recent graduate,Financial Analyst
Agile:1;Cybersecurity:5;JavaScript:1;Leadership:1;Linux:3;Network Security:5;Problem Solving:3;Python:3;SEO:2;SQL:1;User Research:2,Technology;Security;Finance,Bachelor's Degree,student,Cybersecurity Analyst
Adobe Creative Suite:2;Communication:4;Creativity:2;Figma:5;Graphic Design:2;Leadership:2;Linux:1;Machine Learning:2;React:1;Typography:3;UI/UX:5;User Research:4,Design;Technology,Diploma,professional,UX Designer
Accounting:1;Adobe Creative Suite:1;Analytics:2;Business Analysis:2;Communication:5;Digital Marketing:5;Figma:1;Linux:2;Problem Solving:2;SEO:3;Social Media Strategy:5;User Research:1,Marketing;Business,Bachelor's Degree,recent graduate,Marketing Specialist
Agile:3;Communication:5;Financial Analysis:1;Java:2;JavaScript:1;Leadership:3;Linux:1;Machine Learning:2;Problem Solving:1;Project Management:5;Risk Management:2,Business;Management,Master's Degree,professional,Project Manager
Business Analysis:4;Communication:4;Cybersecurity:2;Excel:5;Java:1;JavaScript:1;Linux:1;Machine Learning:2;Problem Solving:1;Project Management:4;SQL:5;Typography:1,Business;Technology,Bachelor's Degree,professional,Business Analyst
Creativity:1;Data Visualization:3;Excel:5;Figma:1;Financial Analysis:1;Graphic Design:2;Java:1;JavaScript:1;Linux:1;Python:3;SQL:5;Social Media Strategy:2;Statistics:5,Technology;Business,Master's Degree,professional,Data Analyst
Accounting:1;Agile:3;Communication:4;Excel:2;Figma:2;Leadership:4;Machine Learning:1;Project Management:5;Risk Management:2;Statistics:1,Business;Management,Master's Degree,professional,Project Manager
Agile:2;Data Visualization:5;Excel:2;Machine Learning:4;Network Security:2;Python:5;React:1;SQL:4;Statistics:4;Typography:2;User Research:1,Technology;Science,Master's Degree,professional,Data Scientist
Adobe Creative Suite:1;Analytics:3;Business Analysis:1;Communication:5;Digital Marketing:4;Financial Analysis:2;Linux:1;Python:1;SEO:4;Social Media Strategy:4,Marketing;Business,Bachelor's Degree,professional,Marketing Specialist
Analytics:1;Creativity:2;Excel:2;Java:4;JavaScript:5;Leadership:1;Project Management:1;Python:4;React:4;SQL:2;Social Media Strategy:1;User Research:2,Technology;Engineering,Master's Degree,professional,Software Engineer
Accounting:1;Analytics:1;Data Visualization:5;Excel:5;Financial Analysis:2;Java:2;Machine Learning:1;Project Management:2;Python:3;SQL:5;Social Media Strategy:1;Statistics:5,Technology;Business,Master's Degree,recent graduate,Data Analyst
Adobe Creative Suite:5;Agile:1;Communication:4;Creativity:5;Cybersecurity:1;Graphic Design:4;Network Security:1;Typography:5,Design;Arts,Diploma,student,Graphic Designer
Accounting:2;Creativity:1;Cybersecurity:1;Data Visualization:5;Financial Analysis:1;Java:1;Linux:1;Machine Learning:4;Project Management:1;Python:5;SQL:5;Statistics:5,Technology;Science,Master's Degree,student,Data Scientist
Communication:4;Figma:5;Graphic Design:1;Network Security:2;Project Management:1;SQL:1;Typography:4;UI/UX:5;User Research:5,Design;Technology,Diploma,recent graduate,UX Designer
Communication:2;Cybersecurity:5;JavaScript:2;Leadership:1;Linux:4;Machine Learning:2;Network Security:5;Problem Solving:4;Python:3;User Research:2,Technology;Security;Design,Master's Degree,student,Cybersecurity Analyst
Adobe Creative Suite:2;Business Analysis:5;Communication:5;Cybersecurity:2;Digital Marketing:2;Excel:4;Linux:2;Network Security:2;Project Management:2;Python:1;Risk Management:1;SEO:2;SQL:4;User Research:1,Business;Technology,Bachelor's Degree,professional,Business Analyst
Data Visualization:3;Excel:5;Java:1;Network Security:2;Problem Solving:1;Python:2;Risk Management:2;SEO:2;SQL:5;Social Media Strategy:2;Statistics:3;User Research:1,Technology;Business,Master's Degree,recent graduate,Data Analyst
Analytics:1;Cybersecurity:4;Data Visualization:1;Figma:1;Financial Analysis:1;JavaScript:2;Linux:4;Network Security:5;Problem Solving:3;Python:4;Statistics:2;Typography:1,Technology;Security,Bachelor's Degree,student,Cybersecurity Analyst
Adobe Creative Suite:4;Agile:1;Communication:3;Creativity:5;Cybersecurity:2;Graphic Design:5;Machine Learning:1;Project Management:1;Python:1;Statistics:1;Typography:5,Design;Arts,Diploma,student,Graphic Designer
Agile:1;Business Analysis:4;Communication:3;Creativity:1;Cybersecurity:1;Digital Marketing:1;Excel:5;Network Security:1;Problem Solving:2;Project Management:4;SQL:4;Statistics:2;Typography:1,Business;Technology;Finance,Master's Degree,recent graduate,Business Analyst
Agile:1;Communication:1;Data Visualization:3;Digital Marketing:1;Excel:5;Figma:2;Financial Analysis:2;Graphic Design:2;Java:2;JavaScript:1;Linux:2;Network Security:1;Python:3;SQL:5;Statistics:4,Technology;Business,Master's Degree,student,Data Analyst
Data Visualization:3;Digital Marketing:1;Excel:4;Figma:1;Java:1;Linux:1;Problem Solving:2;Project Management:2;Python:4;React:1;SQL:4;Statistics:5;UI/UX:2,Technology;Business,Master's Degree,recent graduate,Data Analyst
Accounting:5;Communication:2;Cybersecurity:1;Digital Marketing:1;Excel:4;Financial Analysis:4;Network Security:1;Problem Solving:2;Statistics:5;User Research:2,Finance;Business,Bachelor's Degree,recent graduate,Financial Analyst
Accounting:2;Agile:5;Communication:4;Java:1;Leadership:3;Project Management:4;Risk Management:2;Statistics:2,Business;Management,Bachelor's Degree,professional,Project Manager
Accounting:4;Communication:2;Creativity:1;Excel:5;Figma:2;Financial Analysis:5;Problem Solving:1;React:1;Social Media Strategy:1;Statistics:4;User Research:2,Finance;Business,Bachelor's Degree,recent graduate,Financial Analyst
Agile:1;Analytics:1;Business Analysis:5;Communication:5;Cybersecurity:2;Excel:5;JavaScript:1;Project Management:2;SQL:3;Social Media Strategy:2;Statistics:2,Business;Technology,Bachelor's Degree,recent graduate,Business Analyst
Agile:5;Communication:4;JavaScript:1;Leadership:4;Linux:2;Project Management:4;Risk Management:2;UI/UX:1;User Research:2,Business;Management,Master's Degree,professional,Project Manager
Accounting:4;Communication:3;Digital Marketing:2;Excel:4;Figma:1;Financial Analysis:5;Machine Learning:2;Network Security:1;Python:2;Statistics:3;UI/UX:2,Finance;Business,Bachelor's Degree,student,Financial Analyst
Accounting:5;Business Analysis:2;Communication:4;Excel:5;Financial Analysis:5;Linux:1;Python:1;Statistics:3,Finance;Business;Science,Bachelor's Degree,student,Financial Analyst
Accounting:1;Adobe Creative Suite:1;Analytics:2;Cybersecurity:4;Data Visualization:1;Digital Marketing:2;Figma:1;Financial Analysis:2;Linux:4;Network Security:4;Problem Solving:3;Project Management:2;Python:4;Typography:1;User Research:2,Technology;Security,Bachelor's Degree,recent graduate,Cybersecurity Analyst
Accounting:2;Creativity:1;Cybersecurity:5;Financial Analysis:1;Linux:4;Network Security:5;Problem Solving:3;Project Management:1;Python:4,Technology;Security,Bachelor's Degree,professional,Cybersecurity Analyst
Analytics:4;Communication:5;Digital Marketing:4;Financial Analysis:2;Graphic Design:2;Leadership:1;Linux:2;Network Security:1;SEO:5;Social Media Strategy:5;Typography:1,Marketing;Business,Diploma,recent graduate,Marketing Specialist
Accounting:3;Communication:2;Digital Marketing:2;Excel:5;Financial Analysis:5;Java:1;Python:1;React:1;Social Media Strategy:2;Statistics:4;Typography:2;User Research:2,Finance;Business,Master's Degree,student,Financial Analyst
Cybersecurity:4;JavaScript:1;Leadership:2;Linux:3;Machine Learning:1;Network Security:5;Problem Solving:4;Project Management:1;Python:2,Technology;Security;Healthcare,Master's Degree,professional,Cybersecurity Analyst
Analytics:1;Data Visualization:4;Leadership:1;Machine Learning:4;Problem Solving:2;Python:5;SQL:4;Statistics:5,Technology;Science,Bachelor's Degree,student,Data Scientist
Adobe Creative Suite:1;Business Analysis:2;Cybersecurity:2;Digital Marketing:1;Java:4;JavaScript:4;Linux:2;Machine Learning:2;Problem Solving:2;Python:3;React:5;Risk Management:2;SQL:2;Social Media Strategy:1,Technology;Engineering;Education,Master's Degree,professional,Software Engineer
Adobe Creative Suite:2;Analytics:2;Business Analysis:1;Cybersecurity:2;Digital Marketing:2;Excel:2;Java:4;JavaScript:4;Python:3;React:4;SQL:4;Statistics:1,Technology;Engineering;Science,Master's Degree,recent graduate,Software Engineer
Agile:3;Communication:4;Data Visualization:1;Financial Analysis:1;Java:2;Leadership:5;Network Security:2;Project Management:4;Risk Management:3;Social Media Strategy:2;User Research:2,Business;Management,Bachelor's Degree,professional,Project Manager
Accounting:3;Communication:3;Creativity:1;Excel:4;Financial Analysis:5;SEO:1;SQL:1;Social Media Strategy:2;Statistics:3;User Research:2,Finance;Business,Master's Degree,recent graduate,Financial Analyst
Data Visualization:5;Excel:5;Java:1;Linux:1;Machine Learning:1;Network Security:2;Python:2;SQL:5;Statistics:4,Technology;Business;Engineering,Master's Degree,professional,Data Analyst
Adobe Creative Suite:2;Analytics:2;Data Visualization:5;JavaScript:2;Leadership:2;Machine Learning:5;Problem Solving:2;Project Management:2;Python:4;Risk Management:2;SQL:4;Statistics:5;UI/UX:1,Technology;Science,Master's Degree,student,Data Scientist
Adobe Creative Suite:2;Data Visualization:5;Machine Learning:5;Python:4;React:2;SEO:2;SQL:4;Statistics:5,Technology;Science;Design,Master's Degree,professional,Data Scientist
Communication:3;Creativity:2;Cybersecurity:2;Figma:5;SEO:1;Typography:4;UI/UX:4;User Research:4,Design;Technology;Healthcare,Diploma,professional,UX Designer
Analytics:1;Creativity:1;Data Visualization:4;Excel:5;Financial Analysis:1;Python:4;React:1;Risk Management:2;SQL:5;Statistics:5,Technology;Business,Bachelor's Degree,professional,Data Analyst
Accounting:1;Adobe Creative Suite:4;Communication:3;Creativity:5;Graphic Design:4;JavaScript:2;Risk Management:2;SEO:1;SQL:1;Typography:5;UI/UX:1,Design;Arts;Finance,Diploma,professional,Graphic Designer
Accounting:1;Adobe Creative Suite:5;Communication:3;Creativity:5;Data Visualization:2;Financial Analysis:2;Graphic Design:4;Problem Solving:2;SQL:2;Typography:5;User Research:1,Design;Arts,Bachelor's Degree,student,Graphic Designer
Accounting:2;Business Analysis:4;Communication:3;Data Visualization:1;Excel:5;Financial Analysis:2;JavaScript:2;Linux:1;Project Management:2;SEO:1;SQL:4;Social Media Strategy:2,Business;Technology,Bachelor's Degree,student,Business Analyst
Business Analysis:2;Creativity:1;Digital Marketing:1;Java:5;JavaScript:5;Leadership:1;Linux:2;Project Management:2;Python:3;React:4;SQL:3;User Research:2,Technology;Engineering;Science,Master's Degree,student,Software Engineer
Accounting:1;Agile:1;Business Analysis:2;Data Visualization:3;Leadership:1;Machine Learning:5;Python:5;SQL:5;Social Media Strategy:2;Statistics:5;UI/UX:2,Technology;Science,Bachelor's Degree,recent graduate,Data Scientist
Agile:1;Analytics:2;Communication:5;Digital Marketing:5;Machine Learning:1;Network Security:1;Risk Management:1;SEO:3;Social Media Strategy:4,Marketing;Business,Bachelor's Degree,professional,Marketing Specialist
Adobe Creative Suite:1;Analytics:1;Business Analysis:1;Java:5;JavaScript:5;Python:4;React:5;SQL:2,Technology;Engineering,Bachelor's Degree,recent graduate,Software Engineer
Creativity:1;Data Visualization:3;Java:1;Leadership:2;Machine Learning:5;Python:5;SQL:4;Statistics:5;Typography:2;UI/UX:2;User Research:2,Technology;Science;Engineering,Bachelor's Degree,professional,Data Scientist
Agile:3;Communication:5;Cybersecurity:2;Figma:1;Leadership:3;Problem Solving:1;Project Management:5;React:2;Risk Management:3;Social Media Strategy:2,Business;Management,Bachelor's Degree,professional,Project Manager
Agile:2;Cybersecurity:1;Data Visualization:3;Excel:5;Python:2;SQL:5;Statistics:5;UI/UX:2;User Research:1,Technology;Business,Bachelor's Degree,student,Data Analyst
Accounting:2;Communication:1;Cybersecurity:4;Java:2;Linux:3;Network Security:4;Problem Solving:3;Python:3;Social Media Strategy:1;Typography:2;User Research:1,Technology;Security,Bachelor's Degree,student,Cybersecurity Analyst
Adobe Creative Suite:5;Analytics:2;Communication:3;Creativity:4;Data Visualization:2;Graphic Design:5;Linux:1;Machine Learning:1;Problem Solving:1;Social Media Strategy:1;Typography:3,Design;Arts,Bachelor's Degree,professional,Graphic Designer
Analytics:3;Business Analysis:1;Communication:5;Digital Marketing:5;Financial Analysis:2;Graphic Design:1;Leadership:2;Network Security:2;Problem Solving:1;SEO:3;SQL:1;Social Media Strategy:4,Marketing;Business,Diploma,student,Marketing Specialist
Agile:4;Communication:5;Excel:1;Graphic Design:1;Leadership:3;Project Management:5;Risk Management:4;SQL:1;UI/UX:1,Business;Management;Design,Bachelor's Degree,professional,Project Manager
Graphic Design:2;Java:5;JavaScript:5;Machine Learning:1;Network Security:2;Python:4;React:3;Risk Management:1;SQL:3;UI/UX:2;User Research:2,Technology;Engineering,Bachelor's Degree,recent graduate,Software Engineer
Agile:2;Cybersecurity:5;Data Visualization:1;Linux:3;Machine Learning:1;Network Security:4;Problem Solving:5;Python:4;Risk Management:1,Technology;Security,Bachelor's Degree,student,Cybersecurity Analyst
Accounting:1;Analytics:4;Business Analysis:1;Communication:5;Digital Marketing:5;Financial Analysis:1;Graphic Design:2;Leadership:1;Linux:2;SEO:3;Social Media Strategy:5;Typography:2;User Research:2,Marketing;Business;Education,Diploma,recent graduate,Marketing Specialist
Agile:3;Communication:4;Data Visualization:2;JavaScript:2;Leadership:3;Project Management:5;React:2;Risk Management:2;SEO:1;UI/UX:2;User Research:1,Business;Management,Bachelor's Degree,professional,Project Manager
Analytics:1;Business Analysis:1;Creativity:1;Cybersecurity:5;Data Visualization:2;Digital Marketing:1;Graphic Design:1;Linux:3;Network Security:5;Problem Solving:5;Python:4;React:2;Social Media Strategy:2,Technology;Security,Bachelor's Degree,student,Cybersecurity Analyst
Accounting:5;Business Analysis:2;Communication:3;Data Visualization:1;Excel:5;Financial Analysis:5;Statistics:5;UI/UX:1,Finance;Business;Science,Master's Degree,recent graduate,Financial Analyst
Business Analysis:5;Communication:3;Cybersecurity:2;Data Visualization:2;Digital Marketing:1;Excel:5;Financial Analysis:1;Project Management:2;SEO:1;SQL:3;Social Media Strategy:2;User Research:1,Business;Technology,Bachelor's Degree,student,Business Analyst
Business Analysis:5;Communication:5;Excel:5;Leadership:1;Project Management:4;Risk Management:2;SEO:2;SQL:3;Typography:1;UI/UX:1,Business;Technology,Bachelor's Degree,recent graduate,Business Analyst
Adobe Creative Suite:5;Communication:4;Creativity:5;Data Visualization:2;Graphic Design:4;Java:2;React:2;Typography:5,Design;Arts,Diploma,professional,Graphic Designer
Communication:2;Cybersecurity:1;Data Visualization:3;Excel:1;JavaScript:2;Machine Learning:5;Network Security:2;Python:5;SEO:2;SQL:4;Statistics:5,Technology;Science;Education,Bachelor's Degree,professional,Data Scientist
Cybersecurity:5;Excel:2;Java:1;Linux:4;Network Security:4;Problem Solving:5;Python:3;Statistics:1,Technology;Security,Bachelor's Degree,student,Cybersecurity Analyst
Accounting:3;Business Analysis:1;Communication:2;Cybersecurity:2;Excel:5;Financial Analysis:5;Java:2;Leadership:1;Network Security:1;Project Management:2;SEO:1;Statistics:5,Finance;Business,Master's Degree,student,Financial Analyst
Analytics:4;Communication:5;Digital Marketing:4;Financial Analysis:1;SEO:3;Social Media Strategy:4;Typography:1,Marketing;Business;Engineering,Diploma,professional,Marketing Specialist
Adobe Creative Suite:4;Communication:3;Creativity:5;Figma:1;Financial Analysis:1;Graphic Design:4;Python:1;React:1;SEO:2;Typography:3,Design;Arts,Bachelor's Degree,student,Graphic Designer
Accounting:5;Agile:1;Communication:2;Digital Marketing:1;Excel:5;Financial Analysis:5;JavaScript:2;Linux:1;Machine Learning:2;Problem Solving:2;SEO:2;Statistics:3,Finance;Business,Master's Degree,student,Financial Analyst
Business Analysis:2;Cybersecurity:4;Excel:1;Financial Analysis:2;JavaScript:2;Leadership:2;Linux:3;Network Security:5;Problem Solving:3;Python:4;UI/UX:1,Technology;Security,Bachelor's Degree,professional,Cybersecurity Analyst
Business Analysis:5;Communication:5;Cybersecurity:2;Excel:5;Financial Analysis:1;Java:2;Machine Learning:2;Network Security:2;Project Management:4;React:2;SQL:5;UI/UX:1;User Research:1,Business;Technology,Bachelor's Degree,recent graduate,Business Analyst
Adobe Creative Suite:4;Business Analysis:2;Communication:4;Creativity:5;Financial Analysis:2;Graphic Design:4;JavaScript:2;Linux:1;React:1;Typography:5,Design;Arts;Finance,Diploma,student,Graphic Designer
Analytics:2;Communication:5;Creativity:1;Digital Marketing:4;Graphic Design:1;Java:1;Linux:2;Network Security:2;SEO:4;Social Media Strategy:5,Marketing;Business,Diploma,professional,Marketing Specialist
Adobe Creative Suite:2;Creativity:1;Data Visualization:5;Leadership:1;Linux:2;Machine Learning:4;Network Security:2;Python:4;Risk Management:1;SQL:3;Statistics:5,Technology;Science,Master's Degree,professional,Data Scientist
Analytics:4;Communication:4;Data Visualization:1;Digital Marketing:5;Network Security:1;Project Management:1;SEO:3;Social Media Strategy:5,Marketing;Business,Diploma,student,Marketing Specialist
Adobe Creative Suite:2;Analytics:3;Business Analysis:1;Communication:5;Creativity:2;Digital Marketing:4;Graphic Design:1;Java:1;Linux:2;SEO:5;Social Media Strategy:4;Statistics:1;UI/UX:1,Marketing;Business;Education,Diploma,professional,Marketing Specialist
Data Visualization:4;Excel:5;JavaScript:2;Problem Solving:2;Python:2;SQL:4;Statistics:4;Typography:2,Technology;Business;Finance,Master's Degree,student,Data Analyst
Accounting:1;Agile:2;Cybersecurity:5;Data Visualization:1;Excel:2;Figma:2;Linux:4;Network Security:5;Problem Solving:4;Python:3;Risk Management:2;Statistics:2;Typography:1;UI/UX:2,Technology;Security,Master's Degree,professional,Cybersecurity Analyst
Business Analysis:2;Creativity:1;Java:4;JavaScript:5;Leadership:1;Python:3;React:4;SQL:3,Technology;Engineering,Master's Degree,recent graduate,Software Engineer
Communication:1;Data Visualization:5;Excel:5;Graphic Design:2;Python:4;SQL:5;Statistics:3,Technology;Business;Design,Master's Degree,student,Data Analyst
Adobe Creative Suite:2;Business Analysis:5;Communication:5;Excel:5;Java:1;Leadership:1;Network Security:2;Problem Solving:1;Project Management:4;SEO:1;SQL:4;Statistics:2;User Research:1,Business;Technology,Bachelor's Degree,recent graduate,Business Analyst
Agile:3;Communication:4;Creativity:1;Cybersecurity:2;Excel:2;Leadership:3;Project Management:4;Risk Management:2,Business;Management,Bachelor's Degree,professional,Project Manager
Adobe Creative Suite:1;Analytics:4;Business Analysis:2;Communication:4;Digital Marketing:5;Financial Analysis:2;Java:2;Project Management:2;React:2;SEO:3;SQL:2;Social Media Strategy:4;User Research:2,Marketing;Business;Education,Diploma,professional,Marketing Specialist
